symbol,company_name,sector,industry,final_score,final_decision,action,data_provider,data_provider_primary,data_provider_fallback_used,price_history_rows,data_quality_score,confidence_score
RGTI,"Rigetti Computing, Inc.",Technology,Computer Hardware,23.31,EXIT,STRONG SELL,alpaca,alpaca,False,505,100.0,40.1
QBTS,D-Wave Quantum Inc.,Technology,Computer Hardware,25.58,EXIT,STRONG SELL,alpaca,alpaca,False,505,100.0,50.1
QUBT,Quantum Computing Inc.,Technology,Computer Hardware,14.74,EXIT,STRONG SELL,yfinance,alpaca,True,500,65.0,0.0
IONQ,"IonQ, Inc.",Technology,Computer Hardware,37.17,EXIT,SELL,alpaca,alpaca,False,505,100.0,35.1
LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,47.7,EXIT,SELL,alpaca,alpaca,False,505,100.0,47.1
RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,22.2,EXIT,SELL,alpaca,alpaca,False,505,100.0,39.62
ASTS,"AST SpaceMobile, Inc.",Technology,Communication Equipment,20.24,EXIT,STRONG SELL,alpaca,alpaca,False,505,100.0,42.1
LUNR,"Intuitive Machines, Inc.",Industrials,Aerospace & Defense,24.47,EXIT,STRONG SELL,yfinance,alpaca,True,500,65.0,0.0
TEM,"Tempus AI, Inc.",Healthcare,Health Information Services,19.72,EXIT,STRONG SELL,yfinance,alpaca,True,496,65.0,0.0
SOUN,"SoundHound AI, Inc.",Technology,Software - Application,15.23,EXIT,STRONG SELL,yfinance,alpaca,True,500,65.0,0.1
HIMS,"Hims & Hers Health, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,25.89,EXIT,STRONG SELL,yfinance,alpaca,True,500,65.0,0.0
APP,AppLovin Corporation,Communication Services,Advertising Agencies,58.38,AVOID,WAIT / HOLD,alpaca,alpaca,False,505,100.0,46.62
PL,Planet Labs PBC,Industrials,Aerospace & Defense,22.81,EXIT,STRONG SELL,yfinance,alpaca,True,500,65.0,0.0
